id,price,high_price
674312,8,1.75
682366,1.25,0.65
691699,8.95,4.95
699018,40,1
714841,4.5,2.5
714842,4.5,2.5
714843,4.5,2.5
714844,4.5,2.5
714845,4.5,2.5
714846,5,2.75
714847,4.5,2.5
714852,10,5
714854,5,2.75
714857,4.5,2.5
719218,2.75,1.75
719220,2.75,1.75
719247,2.75,1.75
719266,2.75,1.75
719269,2.75,1.75
719274,2.75,1.75
719278,2.75,2
719280,2.75,1.75
724993,4.99,2.99
760094,8.25,4.5
760310,850,15
760311,750,13
760962,15,0.35
769634,0.35,0.2
781430,2.1,0.95
781433,2.3,1.15
781437,3,1.85
781439,3,1.85
781442,2.75,1.6
781445,2.75,1.6
781449,2,0.85
781452,2.2,1.05
781456,2.5,1.35
781459,2.75,1.6
781617,0.25,0.2
781619,0.25,0.2
782583,2,0.25
789538,4,1.76
790772,12,1.25
792859,1.1,0.6
792869,0.85,0.5
792870,0.85,0.5
802833,6,3
802836,2.5,0.4
802840,6,3
802851,2.5,0.4
802863,7,0.75
802867,8,0.9
802871,8,0.8
802873,5,0.6
802879,4,0.6
802884,4.5,0.6
802887,5,0.6
802891,2.5,0.4
802903,3.5,0.55
802909,2.5,0.4
802911,2.5,0.4
802914,2.5,0.4
802934,4.5,2.5
806842,7,3.75
806843,7,3.75
806846,7,3.75
806848,7,3.75
808382,75,1.5
808894,40,25
812221,0.35,0.25
823563,7.5,4
823566,8,4
823568,9,4.5
823570,9,4.5
823574,12,6
823582,14,7
824955,8.95,4.95
824956,10.85,6.25
824957,11.8,6.9
824958,0.95,0.65
825156,20,0.4
827518,2,1.1
827519,2.25,1.25
827520,1.25,0.65
827521,1.5,0.85
827522,2,1.1
827523,2.5,1.35
827524,1.75,1
827525,1.25,0.65
827526,3,1.6
827527,2.75,1.6
827528,2,1.25
827529,2,1.25
827530,2.25,1.35
827531,5,2.75
827532,5,2.75
827533,6,3.25
827534,6,3.25
827609,1.75,0
832332,1,0
844275,3,2.25
844461,1.35,0.8
844462,1.35,0.8
844463,1.35,0.8
844464,4.5,2.5
845887,2.4,1.25
857489,0.25,0.15
857490,0.25,0.15
858662,3,1.75
858663,3.5,2
867600,2.7,0.4
867602,1.6,0.3
885793,0.25,0.2
885795,0.2,0.15
898562,3.5,1.75
901061,3,1.75
901062,4,2
914429,1.5,0.25
919425,1.5,0.75
919426,2,1
919427,2.5,1.25
919428,2.5,1.25
919429,2.5,1.25
919430,2.75,1.5
926422,2,0.3
930262,0.3,0.2
934806,0.25,0
934845,0.75,0.35
947421,2.5,1.25
958005,2.15,1.1
962204,3,1.5
962403,150,20
963711,0.5,0.1
973243,3.5,1.75
973801,3,1.75
973802,4,2
973803,2.5,1.5
986499,20,0.5
987751,0.5,0.3
990903,0.9,0.5
992653,12.1,0.2
993703,2,1.1
993704,2,1.1
993942,0.5,0.35
999214,7,1.5
999449,4.5,2.25
999450,4.5,2.25
999452,2.5,1.25
999532,0.5,0.25
999533,0.6,0.3
999534,0.5,0.25
1000277,2,1
1000296,3,1.5
1000717,2,1
1000734,3,1.5
1001673,0.25,0.15
1001674,1.4,0.75
1001675,0.6,0.3
1001677,0.5,0.3
1001678,0.6,0.35
1001679,1.75,0.1
1001680,0.5,0.3
1001681,0.25,0.15
1001683,0.25,0.15
1001684,0.25,0.15
1001685,1,0.6
1005032,6,3
1009241,0.4,0.15
1009243,0.4,0.25
1010803,5,1
1014695,3,1.5
1014697,2.5,1.25
1014876,3,1.5
1014879,2.5,1.25
1017227,1.5,0
1020699,0.4,0.2
1020701,0.3,0.15
1020706,0.3,0.15
1020726,0.4,0.2
1045746,2,1.25
1046067,1.5,0.75
1046774,7,3.5
1046775,7,3.5
1046777,7.5,3.75
1046779,7,3.5
1046780,7,3.5
1046782,3.25,1.75
1046783,3.25,1.75
1046786,6,3.25
1046787,6,3.25
1046801,3.75,2
1046802,2.25,1.25
1046803,2.25,1.25
1046804,3.25,1.75
1046805,1,0.6
1046808,2.75,1.5
1046809,3.75,2.6
1046815,0.6,0.35
1046816,0.35,0.25
1046818,0.4,0.25
1046820,0.75,0.4
1046822,0.45,0.25
1046823,0.5,0.25
1046824,0.3,0.2
1046825,0.2,0.1
1046826,0.15,0.1
1046828,0.3,0.2
1046833,0.35,0.2
1046834,2.5,1.25
1046836,2.5,1.25
1046837,3,1.6
1046838,2.5,1.25
1046839,3,1.6
1046840,2.25,1.25
1046841,2.5,1.35
1046842,3.75,2
1046843,2.25,1.25
1047942,1,0.6
1047946,4,2.25
1047950,2.5,1.75
1047974,3,1.75
1051403,75,1.5
1051575,4.75,2.5
1051580,3.75,2
1051583,3,1.5
1051584,3,1.5
1051586,3,1.5
1054018,2.75,1.5
1054028,2,1.25
1061745,1.5,0.85
1061746,1.25,0.65
1061747,1.25,0.65
1061748,1.25,0.65
1061749,1.75,0.95
1061750,2,1.1
1061751,4,2.1
1061753,2.5,1.35
1061754,3,1.6
1061755,2,1.1
1061756,3,1.85
1061758,1.25,0.65
1061759,2,1.1
1061761,4,2.1
1061766,1.5,0.85
1061770,2.5,1.35
1061811,2.5,1.35
1061816,3,1.6
1065458,1.5,0.85
1065459,1.75,0.9
1065460,2,1.1
1065461,2.25,1.25
1065462,2.5,1.3
1065463,2,1.1
1065464,3,1.6
1066182,1.1,0.85
1071720,3.25,1.75
1071750,2.75,1.5
1074817,2.5,1.25
1080127,0.4,0.15
1080129,0.4,0.25
1081035,2.6,1.3
1081041,3.25,1.75
1081050,2.25,1.15
1081111,2.25,1.15
1081635,2.5,1.5
1081671,2,1.25
1086621,2.5,0.1
1104570,0.5,0.25
1104571,0.35,0.25
1110325,3.25,1.75
1118351,0.6,0.1
1118352,0.6,0.1
1118393,0.6,0.1
1118394,0.6,0.1
1118414,0.6,0.1
1118415,0.6,0.1
1122777,0.2,0
1126183,2,1.25
1126299,2.5,1.5
1132299,0.4,0.25
1135484,1.5,0.75
1135485,2,1
1135486,2.5,1.25
1135487,3,1.5
1135488,3.5,1.75
1135489,5,2.5
1135490,6,3
1135491,1.5,0.75
1135496,1.25,0.65
1135497,1.5,0.75
1135498,1.5,0.75
1135499,2.5,1.25
1135500,3,1.5
1135501,3,1.5
1135502,3.5,1.75
1135503,5,2.5
1135504,1,0.5
1135505,1,0.5
1135508,0.6,0.3
1135509,0.5,0.25
1135510,0.4,0.25
1135511,0.4,0.25
1135512,0.4,0.25
1135513,0.4,0.25
1135515,0.5,0.3
1135516,0.25,0.15
1135517,1,0.5
1135518,1.5,0.75
1135519,1.5,0.75
1135520,2,1
1135521,2.5,1.25
1135522,3,1.5
1135523,3.5,1.75
1135524,2,1
1135525,2.5,1.25
1135526,3.5,1.75
1135527,4,2
1135528,2,1
1135529,4,2
1135530,1,0.5
1135531,1,0.5
1135532,1,0.5
1135533,1.5,0.75
1135534,1.5,0.75
1135535,1.6,0.8
1135536,1.75,0.9
1135537,2,1
1135538,2,1
1135539,2,1
1135540,3,1.5
1135544,5,2.5
1135547,4,2
1135548,4.5,2.25
1135549,4,2
1135551,4.5,2.25
1135553,4,2
1135555,4.5,2.25
1135558,4,2
1135563,4,2
1135565,4,2
1135567,4,2
1135568,4,2
1135569,4.5,2.25
1135570,4,2
1135571,4,2
1135572,2.5,1.25
1135573,1,0.5
1138163,0.15,0.1
1142300,1.75,0.9
1149201,0.4,0.15
1149219,0.4,0.25
1149221,0.4,0.25
1168698,4.25,2.25
1172035,1.35,0.15
1172038,1.75,0.2
1172042,1.35,0.15
1172045,1.4,0.15
1172047,1.4,0.15
1172049,1.4,0.15
1172052,1.4,0.15
1172054,1.4,0.15
1172057,1.4,0.15
1172058,1.4,0.15
1172062,1.75,0.2
1172064,1.4,0.15
1175661,4.5,2.25
1175662,2.25,1.25
1175663,5,2.5
1175664,4.5,2.25
1175665,5,2.5
1175666,4.5,2.25
1175668,4.5,2.25
1175670,4.5,2.25
1175671,4.5,2.25
1175672,5,2.5
1175673,5,2.5
